Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice-Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier Name,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,111111111111111,ABC LTD.,171/24,8/31/2024,8/31/2024,8/1/2024,8/31/2024,420.00,BAHIA STAR TRANSPORT LLC,BAHI,10412XXXXX00003,"Transportation
 INV # 171/24
 EBS DIP TO AMDSTC 
 LIBERIA PROJECT",21,21,-
01 Invoice,111111111111111,ABC LTD.,172/24,8/31/2024,8/31/2024,8/1/2024,8/31/2024,225.00,BAHIA STAR TRANSPORT LLC,BAHI,10412XXXXX00003,"Transportation
 INV # 172/24
 AMDSTC TO FABTECH BERTH 53
 LIBERIA PROJECT",11.25,11.25,-
01 Invoice,111111111111111,ABC LTD.,168/24,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"1,680.00",BAHIA STAR TRANSPORT LLC,BAHI,10412XXXXX00003,"Transportation
 INV # 168/24
 ASSENT DIC TO AMDSTC 
 LIBERIA PROJECT",84,84,-
01 Invoice,111111111111111,ABC LTD.,170/24,8/31/2024,8/31/2024,8/1/2024,8/31/2024,500.00,BAHIA STAR TRANSPORT LLC,BAHI,10412XXXXX00003,"Transportation
 INV # 170/24
 AMDSTC TO RAS AL KHOR
 CDC NEOM PROJECT",25,25,-
01 Invoice,111111111111111,ABC LTD.,169/24,8/31/2024,8/31/2024,8/1/2024,8/31/2024,705.00,BAHIA STAR TRANSPORT LLC,BAHI,10412XXXXX00003,"Transportation
 INV # 169/24
 AMDSTC TO SAJJAH, SHARJAH
 CDC NEOM PROJECT",35.25,35.25,-
01 Invoice,111111111111111,ABC LTD.,2024/179,8/31/2024,8/31/2024,8/1/2024,8/31/2024,420.00,MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,"Transportation
 INV # 2024/179
 KADRIS DIC TO AMDSTC
 CDC PROJECT",21,21,-
01 Invoice,111111111111111,ABC LTD.,2024/180,8/31/2024,8/31/2024,8/1/2024,8/31/2024,500.00,MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,"Transportation
 INV # 2024/180
 AMDSTC TO RAS AL KHOR (AUTOMECH)
 CDC PROJECT",25,25,-
01 Invoice,111111111111111,ABC LTD.,163/24,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"1,415.00",BAHIA STAR TRANSPORT LLC,BAHI,10412XXXXX00003,"Transportation
 Transportation Charges from AMNS - JAFZA 
 INV#163/24",70.75,70.75,-
01 Invoice,111111111111111,ABC LTD.,164/24,8/31/2024,8/31/2024,8/1/2024,8/31/2024,715.00,BAHIA STAR TRANSPORT LLC,BAHI,10412XXXXX00003,"Transportation
 Transportation Charges from HFZA - JAFZA FABTECH INTL
 INV#164/24
 LIBERIA PROJECT",35.75,35.75,-
01 Invoice,111111111111111,ABC LTD.,INAE202408040052121,8/4/2024,8/31/2024,8/1/2024,8/31/2024,700.00,TRUKKER TECHNOLOGIES DMCC,TRUK,10059XXXXX00003,"Transportation
 INV # INAE202408040052121
 FABTECH DIC TO AMDSTC
 CANADA PROJECT",35,35,-
01 Invoice,111111111111111,ABC LTD.,INAE202408170052511,8/17/2024,8/31/2024,8/1/2024,8/31/2024,700.00,TRUKKER TECHNOLOGIES DMCC,TRUK,10059XXXXX00003,"Transportation
 INV # INAE202408170052511
 FABTECH DIC TO AMDSTC
 CANADA PROJECT",35,35,-
01 Invoice,111111111111111,ABC LTD.,R00858,8/31/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against L/P
 INV#R00858
 LIBERIA PROJECT",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00768,8/5/2024,8/31/2024,8/1/2024,8/31/2024,75,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against PO20015173-C15
 INV#R00768",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00854,8/30/2024,8/31/2024,8/1/2024,8/31/2024,75,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against internal transfer 
 INV#R00854
 LIBERIA PROJECT",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00851,8/29/2024,8/31/2024,8/1/2024,8/31/2024,75,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against L/P
 INV#R00851",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00853,8/30/2024,8/31/2024,8/1/2024,8/31/2024,82.60,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Port Handling Expenses,4.13,4.13,-
01 Invoice,111111111111111,ABC LTD.,R00855,8/30/2024,8/31/2024,8/1/2024,8/31/2024,82.60,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Port Handling Expenses,4.13,4.13,-
01 Invoice,111111111111111,ABC LTD.,SI240299,8/10/2024,8/31/2024,8/1/2024,8/31/2024,"33,158.80",OOSC COATING FZC,OOSC,10025XXXXX00003,Coating Charges,"1,657.94","1,657.94",-
01 Invoice,111111111111111,ABC LTD.,R00821,8/19/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) charges against L/P
 INV#R00821
 LIBERIA PROJECT",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00808,8/16/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) charges against L/P
 INV#R00808
 LIBERIA PROJECT",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00796,8/14/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) charges against L/P
 INV#R00796
 LIBERIA PROJECT",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,224177,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"4,155.80",ENOC RETAIL LLC,ENOC,10022XXXXX00003,Fuel - Light Vehicle – (E),207.79,207.79,-
01 Invoice,111111111111111,ABC LTD.,13966023,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"5,773.60",OASIS PURE WATER FACTORY LLC,OASI,10002XXXXX00003,"Office Cleaning&Maintenance
 5GLN",288.68,288.68,-
01 Invoice,111111111111111,ABC LTD.,R00828,8/21/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Charges,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00827,8/21/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Charges,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00762,8/3/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from KSA - JFZA 
 STEEL PIPES from KSA 
 INV#R00762",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00822,8/19/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA - JFZA 
 Steel Piles sent to JAFZA from HFZA 
 INV#R00822",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00811,8/16/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA - JFZA 
 Steel Piles sent to JAFZA from HFZA 
 INV#R00811",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00761,8/2/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA - JFZA 
 Steel Pipes sent to JAFZA from HFZA 
 INV#R00761",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00803,8/15/2024,8/31/2024,8/1/2024,8/31/2024,125.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from JFZA- HFZA
 Slitted coils sent to HFZA from Conares 
 INV#R00803",6.25,6.25,-
01 Invoice,111111111111111,ABC LTD.,R00843,8/28/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Charges,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00823,8/20/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Charges,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00842,8/28/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Charges,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00797,8/14/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,Documentation Charges,3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00846,8/29/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA-JAFZA
 INV#R00846",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,R00839,8/29/2024,8/31/2024,8/1/2024,8/31/2024,75.00,PARAMOUNT SHIPPING & FORWARDING LLC,PARA,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA-JAFZA
 INV#R00839",3.75,3.75,-
01 Invoice,111111111111111,ABC LTD.,INV/1841/2024,8/30/2024,8/31/2024,8/1/2024,8/31/2024,700.00,MERCURY GLOBAL SHIPPING FZE,MERC,10407XXXXX00003,DOCUMENT CHARGES,35,35,-
01 Invoice,111111111111111,ABC LTD.,BINLAL-1040-24,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"51,257.60",BINLAL OIL & GAS MECHANICAL WORKS CONTRACTING LLC,BINL,10414XXXXX00003,"Temporary Staff Cost
 MULTI WELDERS
 MONTH -AUG-2024
 1121.50 HRS@25","2,562.88","2,562.88",-
01 Invoice,111111111111111,ABC LTD.,TIL/INV-M0045-240521,7/31/2024,8/31/2024,8/1/2024,8/31/2024,719.80,TRANS ASIA INDUSTRIAL LABORATORIES L L C,TRAN,10053XXXXX00003,Inspection Expenses-5th inspection - 3 heats chemical + mechnical testinge ie AED 250+ 470,35.99,35.99,-
01 Invoice,111111111111111,ABC LTD.,TIL/INV-M0045-240521,7/31/2024,8/31/2024,8/1/2024,8/31/2024,"3,900.80",TRANS ASIA INDUSTRIAL LABORATORIES L L C,TRAN,10053XXXXX00003,Inspection Expenses-5th inspection - 3 heats chemical + mechnical testinge ie AED 250+ 470,195.04,195.04,-
01 Invoice,111111111111111,ABC LTD.,TIL/INV-M0045-240521,7/31/2024,8/31/2024,8/1/2024,8/31/2024,720.20,TRANS ASIA INDUSTRIAL LABORATORIES L L C,TRAN,10053XXXXX00003,Inspection Expenses-5th inspection - 3 heats chemical + mechnical testinge ie AED 250+ 470,36.01,36.01,-
01 Invoice,111111111111111,ABC LTD.,AST-AJM-02426,8/1/2024,8/31/2024,8/1/2024,8/31/2024,"8,750.00",ARABIAN SKY TRANSPORT L L C,ARAB,10058XXXXX00003,Documentation,437.5,437.5,-
01 Invoice,111111111111111,ABC LTD.,AST-AJM-02335,7/1/2024,8/31/2024,8/1/2024,8/31/2024,"22,500.00",ARABIAN SKY TRANSPORT L L C,ARAB,10058XXXXX00003,Documentation,"1,125.00","1,125.00",-
01 Invoice,111111111111111,ABC LTD.,2024/171,8/31/2024,8/31/2024,8/1/2024,8/31/2024,"17,875.00",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,TRANSPORTATION CHARGES FROM HAMRIYA TO AMDSTC (18MTR),893.75,893.75,-
01 Invoice,111111111111111,ABC LTD.,IBX2414771,8/21/2024,8/31/2024,8/1/2024,8/31/2024,500.00,IBX LOGISTICS LLC,IBX,10057XXXXX00003,Port Handling Expenses,25,25,-
01 Invoice,111111111111111,ABC LTD.,81005824,8/7/2024,8/31/2024,8/1/2024,8/31/2024,"7,100.00",DULSCO RECRUITMENT SERVICE LLC,DULS,10051XXXXX00003,"Salaries&Wages - July 2023
 Draftman",355,355,-
01 Invoice,111111111111111,ABC LTD.,81005823,8/7/2024,8/31/2024,8/1/2024,8/31/2024,"5,084.20",DULSCO RECRUITMENT SERVICE LLC,DULS,10051XXXXX00003,"Salaries&Wages - July 2023
 Driver cum Store Assistant",254.21,254.21,-
01 Invoice,111111111111111,ABC LTD.,2024/136,7/20/2024,8/31/2024,8/1/2024,8/31/2024,"2,860.00",MOVER HIGHER TRANSPORT L L C,MOVE,10411XXXXX00003,TRANSPORTATION CHARGES (HAFZA TO JAFZA),143,143,-
01 Invoice,111111111111111,ABC LTD.,30505,7/30/2024,8/31/2024,8/1/2024,8/31/2024,145.00,STAR LINK TRADING CO L L C,STAR,10021XXXXX00003,Stationary,7.25,7.25,-
01 Invoice,111111111111111,ABC LTD.,FIL-DU/IN/132400562,8/26/2024,8/31/2024,8/1/2024,8/31/2024,"1,400.00",FABTECH INTERNATIONAL LTD,FABT,10020XXXXX00003,"Fabrication/Cutting Charges-cdc
 Machining of 80MM Plate ET0225",70,70,-
01 Invoice,111111111111111,ABC LTD.,HCA-SI-24080302,8/30/2024,8/31/2024,8/1/2024,8/31/2024,"1,595.00",HLB HAMT CHARTERED ACCOUNTANTS,HLB,10027XXXXX00003,"Payroll Processing Charges for August 2024
 BC - 29",79.75,79.75,-
01 Invoice,111111111111111,ABC LTD.,HCA-SI-24080304,8/30/2024,8/31/2024,8/1/2024,8/31/2024,90,HLB HAMT CHARTERED ACCOUNTANTS,HLB,10027XXXXX00003,"Payroll Processing Charges for August 2024
 WC JAFZA - 65.5 Nos",4.5,4.5,-
01 Invoice,111111111111111,ABC LTD.,HCA-SI-24080304,8/30/2024,8/31/2024,8/1/2024,8/31/2024,180,HLB HAMT CHARTERED ACCOUNTANTS,HLB,10027XXXXX00003,"Payroll Processing Charges for August 2024
 WC JAFZA - 65.5 Nos",9,9,-
01 Invoice,111111111111111,ABC LTD.,HCA-SI-24080304,8/30/2024,8/31/2024,8/1/2024,8/31/2024,22.4,HLB HAMT CHARTERED ACCOUNTANTS,HLB,10027XXXXX00003,"Payroll Processing Charges for August 2024
 WC JAFZA - 65.5 Nos",1.12,1.12,-
01 Invoice,111111111111111,ABC LTD.,HCA-SI-24080304,8/30/2024,8/31/2024,8/1/2024,8/31/2024,"2,947.60",HLB HAMT CHARTERED ACCOUNTANTS,HLB,10027XXXXX00003,"Payroll Processing Charges for August 2024
 WC JAFZA - 65.5 Nos",147.38,147.38,-
01 Invoice,111111111111111,ABC LTD.,DXB-77252,8/29/2024,8/31/2024,8/1/2024,8/31/2024,"4,670.00",JACKSON TRADING CO. L.L.C,JACK,10004XXXXX00003,"Office Cleaning&Maintenance
 Dallmayr Classico,Milk(Cardamon) Tea, Topping,Cappuccino Caramel,Paper Cup",233.5,233.5,-
01 Invoice,111111111111111,ABC LTD.,85664,8/8/2024,8/8/2024,8/1/2024,8/31/2024,24.00,CASH,CASH,0XXXXX0,SIMPLEX CHAIN LOCK FULL 5/8'',1.2,1.2,-
01 Invoice,111111111111111,ABC LTD.,ah-1395041,8/9/2024,8/9/2024,8/1/2024,8/31/2024,79.00,CASH,CASH,0XXXXX0,BOLT CLAMP 2 1/2'',3.95,3.95,-
01 Invoice,111111111111111,ABC LTD.,lb-0263980,8/10/2024,8/10/2024,8/1/2024,8/31/2024,381,CASH,CASH,0XXXXX0,HOSE FLEXIBLE 2 1/2'' X 30'' LOADER,19.05,19.05,-
01 Invoice,111111111111111,ABC LTD.,INV-32282,8/15/2024,8/15/2024,8/1/2024,8/31/2024,18,CASH,CASH,0XXXXX0,Dry Ice Pellets,0.9,0.9,-
01 Invoice,111111111111111,ABC LTD.,SIV-98954,8/8/2024,8/16/2024,8/1/2024,8/31/2024,"1,900.00",AL ARABAH TRADING LLC.,AL A,10042XXXXX00003,CHROME ROD 85MM,95,95,-
01 Invoice,111111111111111,ABC LTD.,2175593,8/12/2024,8/17/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP- Muhammad rizwan,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175594,8/12/2024,8/17/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP-Rohit thakur,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175595,8/12/2024,8/17/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP- Amit Kumar Gupta,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175596,8/12/2024,8/17/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP- Buli Reddy Manda,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175599,8/12/2024,8/17/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP- Vernon Joaquim,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175597,8/12/2024,8/17/2024,8/1/2024,8/31/2024,100.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP- Anoop Laiju,5,5,-
01 Invoice,111111111111111,ABC LTD.,INV-32322,8/17/2024,8/17/2024,8/1/2024,8/31/2024,18.00,CASH,CASH,0XXXXX0,Dry Ice Pellets,0.9,0.9,-
01 Invoice,111111111111111,ABC LTD.,2175600,8/12/2024,8/19/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP- Abdul muneer,10,10,-
01 Invoice,111111111111111,ABC LTD.,32389,8/21/2024,8/21/2024,8/1/2024,8/31/2024,18.00,CASH,CASH,0XXXXX0,Dry Ice Pellets,0.9,0.9,-
01 Invoice,111111111111111,ABC LTD.,CN-00001,8/22/2024,8/28/2024,8/1/2024,8/31/2024,-70.00,EDUSKILLS TECHNICAL AND OCCUPATIONAL SKILLS TRAINING LLC,EDUS,10401XXXXX00003,HSE Expenses,-3.50,-3.5,-
01 Invoice,111111111111111,ABC LTD.,32490,8/28/2024,8/28/2024,8/1/2024,8/31/2024,95.20,CASH,CASH,0XXXXX0,Dry Ice Pellets,4.76,4.76,-
01 Invoice,111111111111111,ABC LTD.,2175608,8/16/2024,8/29/2024,8/1/2024,8/31/2024,100.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Cancellation - Brajpal,5.00,5,-
01 Invoice,111111111111111,ABC LTD.,2175605,8/16/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- R Processing & Status Change - Leonila Tampol,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175602,8/16/2024,8/29/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Processing & Change Status - NeelMani Mukherji - New employee,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175603,8/16/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Processing & Change Status - Harikrishnan - New Employee,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175604,8/16/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Processing & Status Change - Ankit Mishra,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175653,8/22/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Processing & Status Change - Kuldip Kumar,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175652,8/22/2024,8/29/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Renewal & Salary update - Ashwin Kumar Solanki,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175655,8/22/2024,8/29/2024,8/1/2024,8/31/2024,100.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Cancellation - Khalid Jamal,5,5,-
01 Invoice,111111111111111,ABC LTD.,2175660,8/22/2024,8/29/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Processing & Status Change - Nurul Hoda,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175662,8/22/2024,8/29/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- New RP Processing & Status Change- Sudarshan Sahoo,10.00,10,-
01 Invoice,111111111111111,ABC LTD.,2175640,8/19/2024,8/29/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- New RP Processing & Status Change- Bishal Kumar Singh,10.00,10,-
01 Invoice,111111111111111,ABC LTD.,2175641,8/19/2024,8/29/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)-RP processing & Status Change - Barmeshwar Yadav,10.00,10,-
01 Invoice,111111111111111,ABC LTD.,2175642,8/19/2024,8/29/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Processing & Status Change - Sritamkumar Pradhan,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175701,8/27/2024,8/29/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E) -New Employment visa & status change - Vikas Verma,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175702,8/27/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- New Employment visa & Status Change - Ravindra Chouhan,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175698,8/27/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- New Employment visa & Status Change - Rahul Sharma,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175699,8/27/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)-RP Renewal & Salary Change - Jai Pradhan,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175700,8/27/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Renewal & Salary Update - Chintram,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175714,8/29/2024,8/29/2024,8/1/2024,8/31/2024,200.00,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Renewal & Salary Update - Nirbhay Kumar,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175712,8/29/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Renewal & Salary Update & passport update - Nepal singh,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175716,8/29/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Renewal & Salary Update - Balwant Singh,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175715,8/29/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)-RP Renewal & Salary Change - Baidyanath Pradhan,10,10,-
01 Invoice,111111111111111,ABC LTD.,2175713,8/29/2024,8/29/2024,8/1/2024,8/31/2024,200,DIRECT DOCUMENTS SERVICES,DIRE,10035XXXXX00003,Visa Charges-(E)- RP Renewal & Salary Update & passport update -Ranjith AK,10,10,-
01 Invoice,111111111111111,ABC LTD.,32503,8/29/2024,8/29/2024,8/1/2024,8/31/2024,18,CASH,CASH,0XXXXX0,Dry Ice Pellets,0.9,0.9,-
01 Invoice,111111111111111,ABC LTD.,3015,8/21/2024,8/30/2024,8/1/2024,8/31/2024,"2,500.00",MUHAMMAD ANWAR GHULAM TRANSPORT L L C,MUHA,10039XXXXX00003,SHOWEL WORK - CML YARD SAND ROW,125,125,-
01 Invoice,111111111111111,ABC LTD.,ASBC/FAH2024/036,8/23/2024,8/30/2024,8/1/2024,8/31/2024,"2,200.00",ALSUWAIRI BLDG CONT LLC,ALSU,10058XXXXX00003,REPAIR & MAINTENANCE,110,110,-
01 Invoice,111111111111111,ABC LTD.,ASBC/FAH2024/037,8/23/2024,8/30/2024,8/1/2024,8/31/2024,"6,000.00",ALSUWAIRI BLDG CONT LLC,ALSU,10058XXXXX00003,OTHER SERVICES CHARGES,300,300,-
01 Invoice,111111111111111,ABC LTD.,3020,8/3/2024,8/30/2024,8/1/2024,8/31/2024,"75,000.00",MUHAMMAD ANWAR GHULAM TRANSPORT L L C,MUHA,10039XXXXX00003,OTHER SERVICES CHARGES,"3,750.00","3,750.00",-
01 Invoice,111111111111111,ABC LTD.,ABC/AM/0012/023,12/29/2023,8/30/2024,8/1/2024,8/31/2024,"122,000.00",AL SHUJAA BUILDING CONT. L L C,AL S,10030XXXXX00003,GRP INSULATED WATER TANK,"6,100.00","6,100.00",-
01 Invoice,111111111111111,ABC LTD.,ACS/2024/0554,7/23/2024,8/30/2024,8/1/2024,8/31/2024,"2,700.00",ACE CRANE SYSTEMS L L C,ACE,10003XXXXX00003,MECHANICAL SERVICES CHARGES,135,135,-
01 Invoice,111111111111111,ABC LTD.,ACS/2024/0636,8/12/2024,8/30/2024,8/1/2024,8/31/2024,"6,139.00",ACE CRANE SYSTEMS L L C,ACE,10003XXXXX00003,ROPE GUIDE FOR CRANE 8+8T S.NO.- 67/844150/2,306.95,306.95,-
01 Invoice,111111111111111,ABC LTD.,AHTD/2024/330,8/19/2024,8/30/2024,8/1/2024,8/31/2024,"1,199.60",ACE CRANE SYSTEMS L L C,ACE,10003XXXXX00003,SERVICE & MAINTENANCE,59.98,59.98,-
