Transaction Type,Taxpayer TRN,Company Name / Member Company Name (If applicable),Tax Invoice/Tax credit note No,Tax Invoice/Tax credit note Date,Tax Invoice/Tax credit note Received Date,Reporting period from,Reporting period to,Tax Invoice/Tax credit note Amount AED (before VAT),Supplier Name,Supplier TRN,Supplier TRN,Clear description of the supply,VAT Amount AED,VAT Amount Recovered AED,VAT adjustments
01 Invoice,1.11111E+14,ABC LTD.,R00611,6/27/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against Sheet Piles 
 HFZA to JAFZA 
 INV#R00611",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00613,6/28/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against L/P transfer from AMDSTC to FABTECH INTL 
 INV#R00613
 LIBERIA SHIPMENT",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00608,6/27/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against L/P PO20017218
 INV#R00608",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00616,6/28/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against L/P PO20017210
 INV#R00616",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00589,6/25/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against SO20011778
 INV#R00589",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00603,6/26/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against SO20011861
 INV#R00603",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00594,6/25/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against SO20011862-84-96
 INV#R00594",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00602,6/26/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against SO20011899
 INV#R00602",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00545,6/12/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against PO20017151
 INV#R00545",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00562,6/14/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against PO20017151
 INV#R00562",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00579,6/21/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from Assent to AMDSTC 
 INV#R00579",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00570,6/20/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against SO2001823
 INV#R00570",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00566,6/19/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against SO20011848
 INV#R00566",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00553,6/13/2024,6/30/2024,6/1/2024,6/30/2024,125,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against PO50004543-C
 INV#R00553",6.25,6.25,
01 Invoice,1.11111E+14,ABC LTD.,R00548,6/13/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against L/P PO20017150
 INV#R00548",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00599,6/26/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA to JAFZA
 SHEET PILES 
 INV#R00599",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00590,6/25/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges From HFZA to JAFZA
 SHEET PILES 
 INV#R00590",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00509,6/5/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,Port Handling Expenses,3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00551,6/13/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,Port Handling Expenses,3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00524,6/7/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA-AMDSTC
 INV#R00524",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00541,6/11/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA-AMDSTC
 INV#R00541",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00546,6/13/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA-AMDSTC
 INV#R00546",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00526,6/8/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges From HFZA-AMDSTC
 INV#R00526",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00534,6/10/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA-AMDSTC
 INV#R00534",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00555,6/14/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges From HFZA-AMDSTC
 INV#R00555",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00543,6/12/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA-AMDSTC
 INV#R00543",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00516,6/6/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA-AMDSTC
 INV#R00516",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00568,6/19/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA-AMDSTC
 INV#R00568",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00571,6/20/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA-AMDSTC
 INV#R00571",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00552,6/13/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges From LPO to AMDSTC
 INV#R00552
 LIBERIA SHIPMENT",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00542,6/11/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges From LPO to AMDSTC
 INV#R00542
 LIBERIA SHIPMENT",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00561,6/14/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from Assent to AMDSTC
 INV#R00561
 LIBERIA SHIPMENT",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00565,6/14/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against L/P for Liberia Project
 INV#R00565",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00595,6/25/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Customs Duty – Paid by agents (E)
 Customs Duty – Paid by agents (E) Against SO20011891
 CA#R00054/R00595",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00554,6/13/2024,6/30/2024,6/1/2024,6/30/2024,125,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against SO20011870
 BENDS 
 INV#R00554",6.25,6.25,
01 Invoice,1.11111E+14,ABC LTD.,2024/119,6/30/2024,6/30/2024,6/1/2024,6/30/2024,940,MOVE,1.04113E+14,10411XXXXX00003,"Transportation
 Transportation Chrages from AMNS to AMDSTC 
 INV#2024/119",47,47,
01 Invoice,1.11111E+14,ABC LTD.,IBX2414104,6/21/2024,6/30/2024,6/1/2024,6/30/2024,150,IBX,1.00578E+14,10057XXXXX00003,"Documentation-(E)
 Documentation Charges from HFZA - AMDSTC
 SHEET PILES 
 INV#IBX2414104",7.5,7.5,
01 Invoice,1.11111E+14,ABC LTD.,IBX2414087,6/21/2024,6/30/2024,6/1/2024,6/30/2024,150,IBX,1.00578E+14,10057XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from HFZA - AMDSTC
 SHEET PILES 
 INV#IBX2414087",7.5,7.5,
01 Invoice,1.11111E+14,ABC LTD.,IBX2414112,6/22/2024,6/30/2024,6/1/2024,6/30/2024,150,IBX,1.00578E+14,10057XXXXX00003,"Documentation-(E)
 documentation Charges from HFZA - AMDSTC
 SHEET PILES 
 INV#IBX2414112",7.5,7.5,
01 Invoice,1.11111E+14,ABC LTD.,CI006280/1,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"1,320.00",LIBE,1.00259E+14,10025XXXXX00003,"Temporary Staff Cost
 AML",66,66,
01 Invoice,1.11111E+14,ABC LTD.,CI006280/1,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"11,316.00",LIBE,1.00259E+14,10025XXXXX00003,"Temporary Staff Cost
 AML",565.8,565.8,
01 Invoice,1.11111E+14,ABC LTD.,CI006280/1,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"8,964.00",LIBE,1.00259E+14,10025XXXXX00003,"Temporary Staff Cost
 AML",448.2,448.2,
01 Invoice,1.11111E+14,ABC LTD.,CI006280/1,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"9,414.00",LIBE,1.00259E+14,10025XXXXX00003,"Temporary Staff Cost
 AML",470.7,470.7,
01 Invoice,1.11111E+14,ABC LTD.,DEPDN/6/24/1000961,5/19/2024,6/30/2024,6/1/2024,6/30/2024,"8,227.80",NATI,1.00387E+14,10038XXXXX00003,"Medical Insurance - Addition
 - Lijo Johns
 - Akib Patel",411.39,411.39,
01 Invoice,1.11111E+14,ABC LTD.,DEPDN/6/24/1000347,6/16/2024,6/30/2024,6/1/2024,6/30/2024,"3,765.20",NATI,1.00387E+14,10038XXXXX00003,"Medical Insurance - Addition
 Pratham Rastoji",188.26,188.26,
01 Invoice,1.11111E+14,ABC LTD.,R00617,6/28/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Customs Duty – Paid by agents (E)
 Customs Duty – Paid by agents (E) Against SO20011904 C01080 - Q STEEL (FZE)",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00615,6/28/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,Port Handling Expenses,3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00502,6/4/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against PO20015173
 INV#R00502",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00531,6/10/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against SO20011858
 INV#R00531",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00535,6/11/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,Port Handling Expenses,3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00494,6/3/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against PO20017070
 Local Purchase 
 INV#R00494",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00592,6/25/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,Port Handling Expenses,3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,TIL/INV-M0045-240389,5/31/2024,6/30/2024,6/1/2024,6/30/2024,"9,951.20",TRAN,1.00531E+14,10053XXXXX00003,Inspection Expenses,497.56,497.56,
01 Invoice,1.11111E+14,ABC LTD.,IBX2414004,6/12/2024,6/30/2024,6/1/2024,6/30/2024,150,IBX,1.00578E+14,10057XXXXX00003,"Documentation-(E)
 INV#IBX2414004
 BILL OF ENTRY CHARGES",7.5,7.5,
01 Invoice,1.11111E+14,ABC LTD.,JK-473,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"1,420.00",AL F,1.00353E+14,10035XXXXX00003,"Transportation
 INV # JK-473
 AMDSTC TO BEST CHOICE SAJJAH",71,71,
01 Invoice,1.11111E+14,ABC LTD.,2024/107,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"2,940.00",MOVE,1.04113E+14,10411XXXXX00003,"Transportation
 INV # 2024/107
 LIBERIA SHIPMENT
 ASSENT TO AMDSTC",147,147,
01 Invoice,1.11111E+14,ABC LTD.,2024/109,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"4,620.00",MOVE,1.04113E+14,10411XXXXX00003,"Transportation
 INV # 2024/109
 LIBERIA SHIPMENT
 ASSENT TO AMDSTC",231,231,
01 Invoice,1.11111E+14,ABC LTD.,2024/108,6/30/2024,6/30/2024,6/1/2024,6/30/2024,420,MOVE,1.04113E+14,10411XXXXX00003,"Transportation
 INV # 2024/108
 LIBERIA SHIPMENT
 ASIA BOLT TO AMDSTC",21,21,
01 Invoice,1.11111E+14,ABC LTD.,2024/106,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"3,980.00",MOVE,1.04113E+14,10411XXXXX00003,"Transportation
 INV # 2024/106
 LIBERIA SHIPMENT
 EBS TO AMDSTC",199,199,
01 Invoice,1.11111E+14,ABC LTD.,AST-AJM-02313,6/28/2024,6/30/2024,6/1/2024,6/30/2024,600,ARAB,1.0059E+14,10058XXXXX00003,"Transportation - 12 MTR FLAT BED TRAILER FROM SAJJA, SHJ TO HFZA, SHJ - AED 600/- 99957SHJ DATED 20/06/2024",30,30,
01 Invoice,1.11111E+14,ABC LTD.,R00519,6/7/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges against SO20011765-601
 INV#R00519",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,2024/122,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"1,410.00",MOVE,1.04113E+14,10411XXXXX00003,"Transportation
 transportation Chrages from AMDSTC - SAJJA
 INV#2024/122",70.5,70.5,
01 Invoice,1.11111E+14,ABC LTD.,2024/121,6/30/2024,6/30/2024,6/1/2024,6/30/2024,470,MOVE,1.04113E+14,10411XXXXX00003,"Transportation
 Transportation Chrages from L/P to AMDSTC 
 INV#2024/121",23.5,23.5,
01 Invoice,1.11111E+14,ABC LTD.,2024/124,6/30/2024,6/30/2024,6/1/2024,6/30/2024,235,MOVE,1.04113E+14,10411XXXXX00003,"Transportation
 Transportation charges from JAFZA to FABTECH INTL 
 LIBERIA SHIPMENT 
 INV#2024/124",11.75,11.75,
01 Invoice,1.11111E+14,ABC LTD.,2024/123,6/30/2024,6/30/2024,6/1/2024,6/30/2024,715,MOVE,1.04113E+14,10411XXXXX00003,"Transportation
 Transportation charges from HFZA to FABTECH INTL 
 LIBERIA SHIPMENT 
 INV#2024/123",35.75,35.75,
01 Invoice,1.11111E+14,ABC LTD.,R00517,6/6/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from Assent to AMDSTC 
 INV#R00517
 LIBERIA PROJECT",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00503,6/4/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges ASSent to AMDSTC 
 INV#R00503
 LIBERIA SHIPMENT",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00511,6/5/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges Assent to AMDSTC 
 INV#R00511
 LIBERIA SHIPMENT",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00488,6/1/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from Local to Amdstc 
 INV#R00488
 LIBERIA PROJECT",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,R00500,6/4/2024,6/30/2024,6/1/2024,6/30/2024,75,PARA,1.00375E+14,10037XXXXX00003,"Documentation-(E)
 Documentation-(E) Charges from Local to Amdstc 
 INV#R00500
 LIBERIA PROJECT",3.75,3.75,
01 Invoice,1.11111E+14,ABC LTD.,2024/111,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"9,425.00",MOVE,1.04113E+14,10411XXXXX00003,Transportation Charges from HAFZA TO AMDSTC (SHEET PILES),471.25,471.25,
01 Invoice,1.11111E+14,ABC LTD.,RI 24013729,6/3/2024,6/30/2024,6/1/2024,6/30/2024,550,BURE,1.00012E+14,10001XXXXX00003,NDT UT INSPECTION CHARGE: AED 550 PER DAY X 1 DAY = AED 550.00,27.5,27.5,
01 Invoice,1.11111E+14,ABC LTD.,22481,6/14/2024,6/30/2024,6/1/2024,6/30/2024,"6,270.00",ASIA,1.0001E+14,10000XXXXX00003,HEX BOLT/NUT,313.5,313.5,
01 Invoice,1.11111E+14,ABC LTD.,74346,6/1/2024,6/30/2024,6/1/2024,6/30/2024,"4,044.00",AJMA,1.00066E+14,10006XXXXX00003,"Cutting /Slitting Charges
 Cutting of Coil: details Heat # Q21597, Batch # PD9715
 Thick 16MM X2MM Width
 Cut to lenght: 6 meter",202.2,202.2,
01 Invoice,1.11111E+14,ABC LTD.,TIL/INV/M0045-240416,6/28/2024,6/30/2024,6/1/2024,6/30/2024,"3,586.20",TRAN,1.00531E+14,10053XXXXX00003,Inspection Expenses,179.31,179.31,
01 Invoice,1.11111E+14,ABC LTD.,HCA-SI-24060403,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"1,595.00",HLB,1.00272E+14,10027XXXXX00003,"Payroll Processing Charges for June 2024
 BC JAFZA - 29 Nos",79.75,79.75,
01 Invoice,1.11111E+14,ABC LTD.,HCA-SI-24060405,6/30/2024,6/30/2024,6/1/2024,6/30/2024,90,HLB,1.00272E+14,10027XXXXX00003,"Payroll Processing Charges for June 2024
 BC JAFZA - 64.5 Nos",4.5,4.5,
01 Invoice,1.11111E+14,ABC LTD.,HCA-SI-24060405,6/30/2024,6/30/2024,6/1/2024,6/30/2024,180,HLB,1.00272E+14,10027XXXXX00003,"Payroll Processing Charges for June 2024
 BC JAFZA - 64.5 Nos",9,9,
01 Invoice,1.11111E+14,ABC LTD.,HCA-SI-24060405,6/30/2024,6/30/2024,6/1/2024,6/30/2024,22.6,HLB,1.00272E+14,10027XXXXX00003,"Payroll Processing Charges for June 2024
 BC JAFZA - 64.5 Nos",1.13,1.13,
01 Invoice,1.11111E+14,ABC LTD.,HCA-SI-24060405,6/30/2024,6/30/2024,6/1/2024,6/30/2024,"2,902.40",HLB,1.00272E+14,10027XXXXX00003,"Payroll Processing Charges for June 2024
 BC JAFZA - 64.5 Nos",145.12,145.12,
01 Invoice,1.11111E+14,ABC LTD.,INV-31014,6/1/2024,6/1/2024,6/1/2024,6/30/2024,18.1,AL S,1.0047E+14,10046XXXXX00003,Dry Ice Pellets,0.9,0.9,
01 Invoice,1.11111E+14,ABC LTD.,L005-IC-79642,6/2/2024,6/2/2024,6/1/2024,6/30/2024,357.14,ARIF,1.00238E+14,10023XXXXX00003,REPAIR & MAINTENANCE- SPARE PARTS FOR TRUCK INV- 23643,17.86,17.86,
01 Invoice,1.11111E+14,ABC LTD.,INV003891,6/3/2024,6/3/2024,6/1/2024,6/30/2024,55,PEAR,1.00504E+14,10050XXXXX00003,DISTILLED WATER 20 LT,2.75,2.75,
01 Invoice,1.11111E+14,ABC LTD.,18774,6/7/2024,6/7/2024,6/1/2024,6/30/2024,40,FAST,1.00213E+14,10021XXXXX00003,Office Expenses- PVCAcrylic stencil cutting- office exp,2,2,
01 Invoice,1.11111E+14,ABC LTD.,31130,6/8/2024,6/8/2024,6/1/2024,6/30/2024,18.1,AL S,1.0047E+14,10046XXXXX00003,Dry Ice Pellets,0.9,0.9,
01 Invoice,1.11111E+14,ABC LTD.,5608,6/10/2024,6/10/2024,6/1/2024,6/30/2024,190.48,AL S,1.00256E+14,10025XXXXX00003,TUBE 1600 X 25,9.52,9.52,
01 Invoice,1.11111E+14,ABC LTD.,BDN3002406584,6/11/2024,5/27/2024,6/1/2024,6/30/2024,820,PROM,1.00351E+14,10035XXXXX00003,Vehicle Insurance- jcb- Third party insurance-CLG855HZCRL820182,41,41,
01 Invoice,1.11111E+14,ABC LTD.,5710,6/12/2024,6/12/2024,6/1/2024,6/30/2024,"1,542.87",AL S,1.00256E+14,10025XXXXX00003,TUBE 1600 X 25,77.14,77.14,
01 Invoice,1.11111E+14,ABC LTD.,31310,6/19/2024,6/19/2024,6/1/2024,6/30/2024,54.29,AL S,1.0047E+14,10046XXXXX00003,Dry Ice Pellets,2.71,2.71,
01 Invoice,1.11111E+14,ABC LTD.,MCT7373,6/22/2024,6/22/2024,6/1/2024,6/30/2024,"1,500.00",META,1.0035E+14,10034XXXXX00003,PHOSPHORIC ACID,75,75,
01 Invoice,1.11111E+14,ABC LTD.,CSH-A129770,6/22/2024,6/22/2024,6/1/2024,6/30/2024,166.67,AL M,1.00056E+14,10005XXXXX00003,HYD FILTER TIE-08-025,8.33,8.33,
01 Invoice,1.11111E+14,ABC LTD.,90012868,6/5/2024,6/25/2024,6/1/2024,6/30/2024,"27,362.00",CONA,1.00037E+14,10003XXXXX00003,"Slitting the width into half’s
 ANNEXURE: ATTACHED
 147.905MT","1,368.10","1,368.10",
01 Invoice,1.11111E+14,ABC LTD.,INV-31411,6/25/2024,6/25/2024,6/1/2024,6/30/2024,18.1,AL S,1.0047E+14,10046XXXXX00003,Dry Ice Pellets,0.9,0.9,
01 Invoice,1.11111E+14,ABC LTD.,100/10018017,6/14/2024,6/27/2024,6/1/2024,6/30/2024,"12,353.80",STON,1.00233E+14,10023XXXXX00003,CARBOGUARD 890 GF BLACK 9005 38L,617.69,617.69,
01 Invoice,1.11111E+14,ABC LTD.,665,6/24/2024,6/27/2024,6/1/2024,6/30/2024,"2,800.00",DELT,1.00243E+14,10024XXXXX00003,PE MELT STICK,140,140,
01 Invoice,1.11111E+14,ABC LTD.,ABC/AM/013/2023,5/20/2024,6/28/2024,6/1/2024,6/30/2024,"9,225.00",AL S,1.00307E+14,10030XXXXX00003,OTHER SERVICES CHARGES,461.25,461.25,
01 Invoice,1.11111E+14,ABC LTD.,24978/2,6/22/2024,6/28/2024,6/1/2024,6/30/2024,"2,025.00",B SA,1.00376E+14,10037XXXXX00003,HSE Expenses- EOT CRANE OPERATOR TRAINING ( Re - Fresh Training),101.25,101.25,
01 Invoice,1.11111E+14,ABC LTD.,INV/955/2024,6/1/2024,6/29/2024,6/1/2024,6/30/2024,"3,600.00",MERC,1.04075E+14,10407XXXXX00003,DOCUMENT CHARGES,180,180,
01 Invoice,1.11111E+14,ABC LTD.,ARIN004621,6/29/2024,6/29/2024,6/1/2024,6/30/2024,"3,204.00",AL B,1.00275E+14,10027XXXXX00003,FIRE EXTINGUISHER CO2 25 KG,160.2,160.2,
01 Invoice,1.11111E+14,ABC LTD.,MCT7413,6/29/2024,6/29/2024,6/1/2024,6/30/2024,160,META,1.0035E+14,10034XXXXX00003,DISTILLED WATER,8,8,
01 Invoice,1.11111E+14,ABC LTD.,2024/194,6/1/2024,6/29/2024,6/1/2024,6/30/2024,"15,500.00",AL A,1.00355E+14,10035XXXXX00003,OTHER SERVICES CHARGES,775,775,
01 Invoice,1.11111E+14,ABC LTD.,18162,6/4/2024,6/29/2024,6/1/2024,6/30/2024,"4,324.00",ATLA,1.00282E+14,10028XXXXX00003,RS ULTRA OIL MAKE ATLASCOPCO,216.2,216.2,
01 Invoice,1.11111E+14,ABC LTD.,8097055362,6/6/2024,6/29/2024,6/1/2024,6/30/2024,"2,000.00",AKZO,1.00026E+14,10002XXXXX00003,THINNER GTA 853,100,100,
01 Invoice,1.11111E+14,ABC LTD.,8097055363,6/6/2024,6/29/2024,6/1/2024,6/30/2024,"59,500.00",AKZO,1.00026E+14,10002XXXXX00003,THINNER GTA 822/GTA415,"2,975.00","2,975.00",
01 Invoice,1.11111E+14,ABC LTD.,3546,6/4/2024,6/29/2024,6/1/2024,6/30/2024,"48,000.00",GLOB,1.00274E+14,10027XXXXX00003,CAPITAL -MACHINERY,"2,400.00","2,400.00",
01 Invoice,1.11111E+14,ABC LTD.,6160087219,6/13/2024,6/29/2024,6/1/2024,6/30/2024,"527,187.40",BORO,1.00229E+14,10022XXXXX00003,BORCOAT HE3450 HD POLYETHYLENE,"26,359.37","26,359.37",
01 Invoice,1.11111E+14,ABC LTD.,6160087239,6/19/2024,6/29/2024,6/1/2024,6/30/2024,"527,187.40",BORO,1.00229E+14,10022XXXXX00003,BORCOAT HE3450 HD POLYETHYLENE,"26,359.37","26,359.37",
01 Invoice,1.11111E+14,ABC LTD.,6180058386,6/3/2024,6/29/2024,6/1/2024,6/30/2024,"395,390.80",BORO,1.00229E+14,10022XXXXX00003,BORCOAT HE3450 HD POLYETHYLENE,"19,769.54","19,769.54",
01 Invoice,1.11111E+14,ABC LTD.,67267,6/26/2024,6/29/2024,6/1/2024,6/30/2024,"10,275.00",ALIF,1.00007E+14,10000XXXXX00003,FIRE RESISTANT COVERALLS,513.75,513.75,
01 Invoice,1.11111E+14,ABC LTD.,CD8624015303,6/28/2024,6/29/2024,6/1/2024,6/30/2024,"75,000.00",JOTU,1.0005E+14,10005XXXXX00003,EPOXY POWDER J-PIPE AC-1003 XR-21S GREEN,"3,750.00","3,750.00",
